rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
236,701675,Nathan Church,STL,SD,2026-06-17T18:15:00Z,In Progress,9,Bradgley Rodriguez,699134,R,32.1,Longshot,Watch List,Platoon Edge,20.3,5.3,62.1,44.8,80.0,27.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,20,0,"Last 7 games: 6/20, 0 HR","platoon edge; pitcher baseline 2.2% barrel, 0.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.09,34.22,86.69,97.8482,0.3518,0.1249,0.2778,69.77,8.76,34.85,19.08,3.8,0.1151,2.17,29.9,85.8,0.252,0.0686,14.14,R To L,85,Busch Stadium,
237,680757,Steven Kwan,CLE,MIL,2026-06-17T23:40:00Z,Scheduled,6,Brandon Sproat,687075,R,32.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",1.5,39.6,27.6,71.7,80.0,12.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,0,"Last 7 games: 5/25, 0 HR","platoon edge; pitcher baseline 7.4% barrel, 8.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.92,11.88,83.96,92.3174,0.3212,0.0699,0.3016,63.07,0.45,29.98,24.56,4.0,0.0642,7.39,41.89,89.51,0.4186,0.1605,22.97,,,American Family Field,
238,806198,Cooper Pratt,MIL,CLE,2026-06-17T23:40:00Z,Scheduled,9,Gavin Williams,668909,R,31.5,Longshot,Watch List,Projected Lineup,8.1,60.5,27.6,40.2,50.0,0.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,1,0,3,0,"Last 1 games: 0/3, 0 HR","same-side matchup; pitcher baseline 11.7% barrel, 16.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,33.3,84.1,92.7222,0.223,0.027,0.183,73.7,25.0,0.0,0.0,0.0,0.0,11.73,47.31,90.89,0.4344,0.1943,24.18,,,American Family Field,
239,691026,Masyn Winn,STL,SD,2026-06-17T18:15:00Z,In Progress,6,Bradgley Rodriguez,699134,R,31.1,Longshot,Watch List,No major boost,12.7,5.3,62.1,76.2,50.0,22.9,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,0,"Last 7 games: 6/22, 0 HR","same-side matchup; pitcher baseline 2.2% barrel, 0.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.68,33.69,87.46,98.3636,0.3323,0.0818,0.2986,70.54,11.84,32.39,18.59,4.1,0.0897,2.17,29.9,85.8,0.252,0.0686,14.14,R To L,85,Busch Stadium,
240,691720,Kyle Karros,COL,CHC,2026-06-18T00:05:00Z,Scheduled,9,Javier Assad,665871,R,30.7,Longshot,Watch List,Projected Lineup,21.5,30.3,29.8,40.2,50.0,34.5,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,20,0,Contact streak: 7/20 over last 7 games,"same-side matchup; pitcher baseline 4.1% barrel, 3.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.27,39.51,88.74,99.4486,0.3495,0.1068,0.3119,69.87,4.74,38.24,22.24,2.4,0.0937,4.06,45.93,89.9,0.3997,0.1369,23.56,,,Wrigley Field,
241,621020,Dansby Swanson,CHC,COL,2026-06-18T00:05:00Z,Scheduled,9,Sean Sullivan,807743,L,30.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",34.8,7.0,29.8,40.2,78.0,0.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,20,0,"Last 7 games: 2/20, 0 HR","platoon edge; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.13,41.99,89.52,99.7042,0.3706,0.1596,0.3002,71.18,8.01,44.54,31.22,12.1,0.1436,0.0,11.1,83.7,0.139,0.06,44.4,,,Wrigley Field,
242,802415,Chandler Simpson,TB,LAD,2026-06-17T19:10:00Z,In Progress,6,Shohei Ohtani,660271,R,30.1,Longshot,Watch List,Platoon Edge,0.0,12.3,61.6,76.2,80.0,0.8,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,16,0,"Last 7 games: 2/16, 0 HR","platoon edge; pitcher baseline 3.6% barrel, 3.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,15.2,84.02,93.0955,0.2961,0.0375,0.2655,64.62,0.3,27.36,12.58,0.0,0.0486,3.61,35.0,87.1,0.2954,0.0947,23.0,Out To CF,78,UNIQLO Field at Dodger Stadium,
243,645302,Victor Robles,SEA,BAL,2026-06-18T01:40:00Z,Scheduled,7,Kyle Bradish,680694,R,30.1,Longshot,Watch List,Projected Lineup,7.9,40.1,25.4,59.8,50.0,23.7,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,18,0,"Last 7 games: 5/18, 0 HR","same-side matchup; pitcher baseline 10.1% barrel, 8.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.9,20.61,82.95,93.5225,0.3389,0.1135,0.2559,68.05,1.39,48.29,21.69,0.3,0.0549,10.06,37.43,88.68,0.3823,0.152,22.03,,,T-Mobile Park,
244,670156,Miles Mastrobuoni,SEA,BAL,2026-06-18T01:40:00Z,Scheduled,9,Kyle Bradish,680694,R,29.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",8.0,40.1,25.4,40.2,80.0,8.5,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,6,3,17,0,"Last 6 games: 3/17, 0 HR","platoon edge; pitcher baseline 10.1% barrel, 8.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.69,22.61,88.84,95.1793,0.2312,0.0591,0.2242,68.06,3.2,38.04,23.77,0.3,0.0138,10.06,37.43,88.68,0.3823,0.152,22.03,,,T-Mobile Park,
245,665804,Miguel Amaya,CHC,COL,2026-06-18T00:05:00Z,Scheduled,8,Sean Sullivan,807743,L,28.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",22.3,7.0,29.8,47.9,78.0,28.2,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,13,0,"Last 7 games: 4/13, 0 HR","platoon edge; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.58,30.38,86.19,97.3648,0.3517,0.1322,0.3076,70.66,12.89,41.5,32.79,3.3,0.1651,0.0,11.1,83.7,0.139,0.06,44.4,,,Wrigley Field,
246,805779,Jacob Wilson,ATH,PIT,2026-06-18T01:40:00Z,Scheduled,5,Braxton Ashcraft,677952,R,28.5,Longshot,Watch List,Projected Lineup,2.6,26.0,30.9,81.9,50.0,16.6,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,0,"Last 7 games: 6/26, 0 HR","same-side matchup; pitcher baseline 5.4% barrel, 6.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.99,27.01,84.39,95.7094,0.3381,0.0751,0.2802,63.97,0.3,32.95,20.74,6.0,0.1113,5.4,38.78,89.33,0.3402,0.1157,25.25,,,Sutter Health Park,
247,663538,Nico Hoerner,CHC,COL,2026-06-18T00:05:00Z,Scheduled,1,Sean Sullivan,807743,L,28.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",8.6,7.0,29.8,88.7,78.0,0.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,28,0,"Last 7 games: 3/28, 0 HR","platoon edge; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,1.49,28.69,86.14,96.1968,0.3784,0.0857,0.3276,68.36,1.83,33.57,21.49,4.9,0.0956,0.0,11.1,83.7,0.139,0.06,44.4,,,Wrigley Field,
248,643446,Jeff McNeil,ATH,PIT,2026-06-18T01:40:00Z,Scheduled,9,Braxton Ashcraft,677952,R,28.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",10.7,26.0,30.9,40.2,80.0,24.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,19,1,"Last 7 games: 3/19, 1 HR","platoon edge; pitcher baseline 5.4% barrel, 6.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.3,31.43,86.64,96.5905,0.3621,0.0936,0.3146,68.81,4.95,43.42,21.16,5.7,0.1099,5.4,38.78,89.33,0.3402,0.1157,25.25,,,Sutter Health Park,
249,670764,Taylor Walls,TB,LAD,2026-06-17T19:10:00Z,In Progress,9,Shohei Ohtani,660271,R,28.1,Longshot,Watch List,Platoon Edge,4.0,11.9,61.6,44.8,75.0,32.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,15,0,Contact streak: 5/15 over last 7 games,"switch hitter; pitcher baseline 3.6% barrel, 3.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.78,20.73,84.48,94.5671,0.2509,0.0675,0.2477,67.96,2.2,32.38,31.57,1.2,0.0738,3.61,35.0,87.1,0.2954,0.0947,23.0,Out To CF,78,UNIQLO Field at Dodger Stadium,
250,687551,Drew Gilbert,SF,ATL,2026-06-17T23:15:00Z,Scheduled,9,JR Ritchie,702275,R,28.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",11.2,27.9,30.9,40.2,80.0,5.1,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,13,0,"Last 7 games: 2/13, 0 HR","platoon edge; pitcher baseline 4.7% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.43,34.05,85.76,97.6213,0.3163,0.0985,0.2709,70.59,11.42,38.46,18.15,3.0,0.1474,4.7,40.0,89.3,0.375,0.142,25.9,,,Truist Park,
251,691740,Daniel Susac,SF,ATL,2026-06-17T23:15:00Z,Scheduled,8,JR Ritchie,702275,R,26.5,Longshot,Watch List,Projected Lineup,11.0,27.9,30.9,47.9,50.0,6.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,0,"Last 7 games: 4/25, 0 HR","same-side matchup; pitcher baseline 4.7% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.3,27.5,85.8,96.405,0.36,0.09,0.307,68.7,3.5,40.6,29.0,0.0,0.08,4.7,40.0,89.3,0.375,0.142,25.9,,,Truist Park,
252,543877,Christian Vázquez,HOU,DET,2026-06-17T18:10:00Z,In Progress,9,Casey Mize,663554,R,25.8,Longshot,Watch List,No major boost,3.5,32.0,41.6,44.8,50.0,0.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,18,0,"Last 7 games: 1/18, 0 HR","same-side matchup; pitcher baseline 7.9% barrel, 7.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,2.26,24.32,85.76,95.6006,0.2762,0.0774,0.2444,65.95,1.22,35.54,26.38,3.7,0.1109,7.87,36.06,87.76,0.3483,0.1364,30.39,None,73,Daikin Park,
