rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,weather_temp,ballpark,odds
1,656941,Kyle Schwarber,PHI,PIT,2026-07-02T16:35:00Z,In Progress,2,Jared Jones,683003,R,73.4,Tier 2,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",82.7,49.3,76.8,100.0,80.0,31.6,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","platoon edge; pitcher baseline 9.2% barrel, 5.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,20.17,54.91,93.6,104.614,0.5488,0.3001,0.3884,77.16,76.12,55.33,35.35,37.8,0.323,9.2,40.8,90.3,0.457,0.198,26.3,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.9061&lon=-75.1665,61,9,91,Citizens Bank Park,
2,699013,Esmerlyn Valdez,PIT,PHI,2026-07-02T16:35:00Z,In Progress,4,Alan Rangel,660604,R,70.0,Tier 2,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Hot Hitter/Streak",88.5,27.3,76.8,94.9,50.0,100.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,23,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 6.9% barrel, 1.0 HR allowed",EV profile; pitcher allows elevated contact,30.3,57.6,92.3,104.2695,0.628,0.371,0.403,75.2,52.1,21.2,42.4,6.0,0.415,6.86,30.17,87.1,0.3892,0.1569,30.41,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.9061&lon=-75.1665,61,9,91,Citizens Bank Park,
3,660271,Shohei Ohtani,LAD,SD,2026-07-03T02:10:00Z,Scheduled,1,Randy Vásquez,681190,R,69.4,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",80.3,70.9,27.6,88.7,80.0,42.5,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,32,1,"Last 7 games: 9/32, 1 HR","platoon edge; pitcher baseline 12.6% barrel, 13.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.53,54.99,93.99,104.3076,0.5888,0.3022,0.4159,74.96,52.24,49.99,31.64,29.1,0.2714,12.58,44.69,91.06,0.5377,0.242,29.3,,NOAA link only,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,,,,UNIQLO Field at Dodger Stadium,
4,666160,Mickey Moniak,COL,MIA,2026-07-02T19:10:00Z,Pre-Game,2,Ryan Gusto,687473,R,68.2,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",55.8,51.5,90.7,100.0,80.0,52.8,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.8% barrel, 6.5 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.73,42.43,89.84,100.5814,0.4753,0.2364,0.3251,74.15,43.63,50.58,39.85,17.0,0.304,9.85,46.68,90.04,0.4446,0.1711,26.75,Out To LF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.7559&lon=-104.9942,12,1,88,Coors Field,
5,669065,Kyle Stowers,MIA,COL,2026-07-02T19:10:00Z,Pre-Game,3,Michael Lorenzen,547179,R,67.1,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",57.9,51.9,90.7,96.6,80.0,24.9,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,0,"Last 7 games: 8/28, 0 HR","platoon edge; pitcher baseline 8.6% barrel, 16.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.64,52.7,91.1,102.9756,0.4621,0.2167,0.3428,74.93,51.07,47.04,28.07,13.1,0.214,8.59,45.08,90.07,0.4678,0.1826,26.01,Out To LF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.7559&lon=-104.9942,12,1,88,Coors Field,
6,665052,Griffin Conine,MIA,COL,2026-07-02T19:10:00Z,Pre-Game,5,Michael Lorenzen,547179,R,67.0,Tier 3,Watch List,"Strong Barrel, Good Environment, Platoon Edge",56.8,51.9,90.7,86.4,80.0,57.5,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,21,1,Contact streak: 8/21 over last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 16.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.45,52.44,89.64,104.4157,0.5118,0.2215,0.3797,74.12,42.22,45.12,18.09,2.7,0.2175,8.59,45.08,90.07,0.4678,0.1826,26.01,Out To LF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.7559&lon=-104.9942,12,1,88,Coors Field,
7,547180,Bryce Harper,PHI,PIT,2026-07-02T16:35:00Z,In Progress,3,Jared Jones,683003,R,66.6,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",57.4,49.3,76.8,96.6,80.0,72.7,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.2% barrel, 5.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.37,47.36,90.74,102.2125,0.5354,0.2499,0.3967,74.34,46.54,38.47,27.45,22.1,0.2484,9.2,40.8,90.3,0.457,0.198,26.3,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.9061&lon=-75.1665,61,9,91,Citizens Bank Park,
8,683357,Owen Caissie,MIA,COL,2026-07-02T19:10:00Z,Pre-Game,6,Michael Lorenzen,547179,R,62.8,Tier 3,Watch List,"Strong Barrel, Good Environment, Platoon Edge",47.8,51.9,90.7,76.2,80.0,62.1,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,17,1,Contact streak: 7/17 over last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 16.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.77,39.04,90.24,100.5571,0.3838,0.1769,0.2831,74.87,53.87,30.76,30.2,7.3,0.1876,8.59,45.08,90.07,0.4678,0.1826,26.01,Out To LF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.7559&lon=-104.9942,12,1,88,Coors Field,
9,677951,Bobby Witt,KC,TB,2026-07-02T23:40:00Z,Scheduled,2,Ian Seymour,693855,L,61.5,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",59.9,34.6,58.2,95.5,78.0,87.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.9% barrel, 6.4 HR allowed",EV profile; pitcher allows elevated contact,12.78,51.44,93.3,103.8354,0.5234,0.2192,0.386,73.88,41.49,29.26,26.92,15.3,0.1899,7.94,36.26,87.79,0.3693,0.1537,31.76,183 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.0517&lon=-94.4803,56,0,89,Kauffman Stadium,
10,669016,Brandon Marsh,PHI,PIT,2026-07-02T16:35:00Z,In Progress,4,Jared Jones,683003,R,61.4,Tier 3,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",42.0,49.3,76.8,94.9,80.0,74.5,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.2% barrel, 5.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.52,46.4,90.12,100.5347,0.4495,0.1746,0.3307,71.47,14.63,37.77,25.82,13.8,0.1966,9.2,40.8,90.3,0.457,0.198,26.3,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.9061&lon=-75.1665,61,9,91,Citizens Bank Park,
