rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,weather_temp,ballpark,odds
1,808959,Munetaka Murakami,CWS,TOR,2026-07-18T19:07:00Z,Scheduled,2,Shane Bieber,669456,R,77.2,Tier 2,Best Overall,"Projected Lineup, Elite Power, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",81.7,86.1,48.9,95.5,80.0,32.9,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,1,"Last 7 games: 5/23, 1 HR","platoon edge; pitcher baseline 13.7% barrel, 7.3 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.5,58.6,93.9,104.7975,0.505,0.29,0.367,75.3,55.5,45.3,39.8,20.0,0.302,13.7,53.38,93.2,0.6253,0.2929,28.76,84 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=43.6414&lon=-79.3894,81,1,70,Rogers Centre,
2,699013,Esmerlyn Valdez,PIT,CLE,2026-07-18T23:10:00Z,Scheduled,4,Logan Allen,671106,L,75.1,Tier 2,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",83.7,68.2,51.1,90.4,78.0,74.5,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 15.5% barrel, 5.4 HR allowed",EV profile; pitcher allows elevated contact,29.8,52.6,92.1,103.9855,0.58,0.34,0.374,74.9,49.2,26.3,42.1,10.0,0.404,15.47,49.4,92.38,0.428,0.1845,32.53,145 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=41.4962&lon=-81.6852,47,0,80,Progressive Field,
3,682829,Elly De La Cruz,CIN,COL,2026-07-18T19:10:00Z,Scheduled,1,Tomoyuki Sugano,608372,R,70.9,Tier 2,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",59.2,72.3,67.7,88.7,75.0,93.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,29,3,Hot streak: 3 HR in last 7 games,"switch hitter; pitcher baseline 13.3% barrel, 21.1 HR allowed",EV profile; pitcher allows elevated contact,13.94,50.08,93.45,104.3795,0.4702,0.2045,0.3507,74.92,49.55,34.96,26.64,17.8,0.2096,13.34,43.16,90.42,0.5513,0.2476,31.4,149 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.7559&lon=-104.9942,23,4,91,Coors Field,
4,695578,James Wood,WSH,ATH,2026-07-19T02:05:00Z,Scheduled,1,J.T. Ginn,669372,R,70.2,Tier 2,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",85.2,33.3,62.9,88.7,80.0,100.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,25,5,Hot streak: 5 HR in last 7 games,"platoon edge; pitcher baseline 7.6% barrel, 14.2 HR allowed",EV profile; pitcher fly-ball pressure modest,20.74,58.96,94.79,106.4211,0.5798,0.3065,0.4114,76.56,66.34,29.91,26.83,28.9,0.2701,7.56,37.57,87.56,0.3775,0.1428,23.64,213 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=38.5804&lon=-121.5139,18,0,93,Sutter Health Park,
5,699013,Esmerlyn Valdez,PIT,CLE,2026-07-18T17:10:00Z,Scheduled,4,Gavin Williams,668909,R,70.1,Tier 2,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",83.7,58.2,51.1,90.4,50.0,74.5,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 11.0% barrel, 18.8 HR allowed",EV profile; pitcher fly-ball pressure modest,29.8,52.6,92.1,103.9855,0.58,0.34,0.374,74.9,49.2,26.3,42.1,10.0,0.404,11.03,47.31,90.75,0.4246,0.1845,24.39,145 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=41.4962&lon=-81.6852,47,0,80,Progressive Field,
6,701398,Sal Stewart,CIN,COL,2026-07-18T19:10:00Z,Scheduled,2,Tomoyuki Sugano,608372,R,69.6,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot",62.4,74.3,67.7,95.5,50.0,63.1,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 13.3% barrel, 21.1 HR allowed",lift-pull EV profile; pitcher allows elevated contact,15.66,44.45,92.04,101.7609,0.5215,0.2561,0.3681,72.38,28.47,38.5,32.02,14.8,0.2396,13.34,43.16,90.42,0.5513,0.2476,31.4,149 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.7559&lon=-104.9942,23,4,91,Coors Field,
7,660271,Shohei Ohtani,LAD,NYY,2026-07-19T00:08:00Z,Scheduled,1,Ryan Weathers,677960,L,69.2,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",82.5,50.8,58.7,88.7,50.0,81.4,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 9.9% barrel, 13.3 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.16,54.29,93.92,104.2964,0.6007,0.3141,0.418,75.1,53.43,47.68,33.11,31.9,0.2798,9.95,41.71,89.6,0.4327,0.1848,27.16,7 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,35,0,82,Yankee Stadium,
8,670541,Yordan Alvarez,HOU,BAL,2026-07-18T20:10:00Z,Scheduled,2,Trevor Rogers,669432,L,67.2,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot",85.6,37.7,57.1,95.5,50.0,68.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.0% barrel, 8.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.37,53.25,94.7,105.1032,0.6652,0.3455,0.4511,76.1,61.81,40.88,37.78,23.5,0.2676,7.04,42.17,89.28,0.4005,0.1545,24.6,156 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=29.7573&lon=-95.3555,75,0,86,Daikin Park,
9,695657,Colson Montgomery,CWS,TOR,2026-07-18T19:07:00Z,Scheduled,4,Shane Bieber,669456,R,67.0,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",55.9,86.1,48.9,90.4,80.0,14.1,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,0,"Last 7 games: 6/28, 0 HR","platoon edge; pitcher baseline 13.7% barrel, 7.3 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.8,43.94,89.19,102.0908,0.4646,0.2374,0.3312,76.51,67.85,49.09,35.12,22.4,0.2613,13.7,53.38,93.2,0.6253,0.2929,28.76,84 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=43.6414&lon=-79.3894,81,1,70,Rogers Centre,
10,700250,Ben Rice,NYY,LAD,2026-07-19T00:08:00Z,Scheduled,2,Emmet Sheehan,686218,R,66.9,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",65.5,45.6,58.7,95.5,80.0,100.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,26,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 9.8% barrel, 12.6 HR allowed",EV profile; pitcher fly-ball pressure modest,15.47,50.15,92.53,102.5216,0.5341,0.2576,0.3861,72.84,27.36,46.92,29.69,28.1,0.2965,9.82,40.06,89.37,0.3831,0.1612,29.1,7 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,35,0,82,Yankee Stadium,
