rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,sheet_score,sheet_carry_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,weather_temp,ballpark,odds,sheet_barrel_pct,sheet_iso,sheet_ev,sheet_pm_hr,sheet_pm_pa,sheet_pa_pct,sheet_hr_env,sheet_pitcher_split_barrel,sheet_pitcher_split_hr,sheet_note
1,682985,Riley Greene,DET,COL,2026-09-11T22:40:00Z,Pre-Game,4,Mason Adams,690279,R,69.9,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",61.6,84.3,33.1,94.9,80.0,90.6,50.0,,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,28,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 13.9% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,15.7,46.97,90.18,102.5287,0.4959,0.2417,0.3586,75.6,57.73,38.98,33.8,24.1,0.2063,13.9,61.1,94.0,0.531,0.274,33.3,In From CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=42.3390&lon=-83.0485,70,1,69,Comerica Park,,,,,,,,,,,
2,608369,Corey Seager,TEX,AZ,2026-09-12T01:40:00Z,Pre-Game,2,Merrill Kelly,518876,R,68.3,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",62.7,61.6,61.2,95.5,80.0,78.4,50.0,,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 11.1% barrel, 25.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.3,49.89,91.99,102.5182,0.5081,0.2476,0.3664,71.8,15.02,40.78,31.2,18.2,0.2069,11.05,42.59,90.06,0.4989,0.2153,26.64,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,22,0,107,Chase Field,,,,,,,,,,,
3,691002,Yohandy Morales,WSH,LAA,2026-09-11T22:45:00Z,Pre-Game,6,Yusei Kikuchi,579328,L,68.0,Tier 3,Watch List,"Elite Power, Strong Barrel, Platoon Edge",87.7,52.6,42.7,76.2,78.0,66.0,50.0,,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,19,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.5% barrel, 12.1 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,27.3,72.7,95.4,103.9831,0.549,0.311,0.329,73.3,30.3,45.5,45.5,2.0,0.421,9.54,43.81,91.0,0.4448,0.1864,24.59,In From RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=38.8730&lon=-77.0074,56,2,85,Nationals Park,,,,,,,,,,,
4,592450,Aaron Judge,NYY,NYM,2026-09-11T23:05:00Z,Pre-Game,3,Nolan McLean,690997,R,65.8,Tier 3,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot",89.7,28.2,75.7,96.6,50.0,18.0,50.0,,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","same-side matchup; pitcher baseline 6.8% barrel, 11.7 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,22.21,57.43,94.42,105.6151,0.6227,0.3471,0.422,76.34,66.65,41.34,34.41,27.8,0.3003,6.81,38.01,88.24,0.3422,0.1218,21.35,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,52,0,81,Yankee Stadium,,,,,,,,,,,
5,624413,Pete Alonso,BAL,TOR,2026-09-11T23:07:00Z,Pre-Game,2,Max Scherzer,453286,R,65.6,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",72.6,47.9,61.9,100.0,50.0,57.8,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.2% barrel, 14.8 HR allowed",EV profile; pitcher allows elevated contact,15.47,56.22,93.99,104.257,0.5517,0.271,0.3916,74.78,48.72,36.5,30.32,35.2,0.2366,10.16,35.12,87.88,0.427,0.1904,34.09,Out To LF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=43.6414&lon=-79.3894,49,0,67,Rogers Centre,,,,,,,,,,,
6,663728,Cal Raleigh,SEA,ATH,2026-09-12T01:40:00Z,Scheduled,4,Jeffrey Springs,605488,L,64.2,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",60.2,45.7,79.4,90.4,75.0,54.3,50.0,,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,1,Contact streak: 9/25 over last 7 games,"switch hitter; pitcher baseline 8.9% barrel, 31.5 HR allowed",fly-ball profile; pitcher allows elevated contact,16.28,41.76,90.25,101.0884,0.4427,0.2411,0.3297,75.06,52.04,53.94,42.22,32.7,0.2363,8.94,35.62,87.74,0.4408,0.1897,32.09,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=38.5804&lon=-121.5139,19,0,102,Sutter Health Park,,,,,,,,,,,
7,695578,James Wood,WSH,LAA,2026-09-11T22:45:00Z,Pre-Game,1,Yusei Kikuchi,579328,L,63.8,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot",80.8,52.6,42.7,93.2,50.0,22.4,50.0,,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,0,"Last 7 games: 7/26, 0 HR","same-side matchup; pitcher baseline 9.5% barrel, 12.1 HR allowed",EV profile; pitcher fly-ball pressure modest,19.27,57.7,95.0,106.3591,0.5511,0.2806,0.3988,76.63,67.06,32.43,24.87,30.3,0.2484,9.54,43.81,91.0,0.4448,0.1864,24.59,In From RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=38.8730&lon=-77.0074,56,2,85,Nationals Park,,,,,,,,,,,
8,665742,Juan Soto,NYM,NYY,2026-09-11T23:05:00Z,Pre-Game,2,Carlos Rodón,607074,L,63.5,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot",70.5,34.1,75.7,100.0,50.0,53.7,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,30,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.1% barrel, 10.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.4,49.84,92.75,103.0476,0.5884,0.2979,0.4199,72.69,31.63,39.04,32.4,29.7,0.2557,7.11,38.62,89.51,0.3475,0.1345,28.72,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,52,0,81,Yankee Stadium,,,,,,,,,,,
9,666018,Jonathan Aranda,TB,HOU,2026-09-11T23:10:00Z,Pre-Game,2,Miguel Ullola,699044,R,62.4,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",48.6,64.5,47.1,100.0,80.0,60.7,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 18.8% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.73,48.06,91.67,101.2053,0.466,0.196,0.3582,70.29,12.97,32.78,30.06,17.5,0.1562,18.8,37.5,87.1,0.453,0.233,56.3,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=27.7682&lon=-82.6534,83,16,78,Tropicana Field,,,,,,,,,,,
10,646240,Rafael Devers,SF,SD,2026-09-12T02:15:00Z,Scheduled,2,Robbie Ray,592662,L,62.2,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",61.4,49.3,51.8,95.5,50.0,94.7,50.0,,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 8.9% barrel, 20.6 HR allowed",EV profile; pitcher allows elevated contact,13.48,52.95,93.15,103.3356,0.4758,0.2357,0.3488,71.81,20.72,34.33,33.67,35.0,0.2501,8.9,39.73,89.74,0.4116,0.1751,33.87,290 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=37.7786&lon=-122.3893,64,1,74,Oracle Park,,,,,,,,,,,
