rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,weather_temp,ballpark,odds
1,660271,Shohei Ohtani,LAD,NYY,2026-07-19T16:35:00Z,Pre-Game,1,Cam Schlittler,693645,R,71.4,Tier 2,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",82.5,36.3,74.2,93.2,80.0,81.4,Yes,No,1,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 8.3% barrel, 10.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.16,54.29,93.92,104.2964,0.6007,0.3141,0.418,75.1,53.43,47.68,33.11,31.9,0.2798,8.27,39.29,88.23,0.3616,0.1421,27.37,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,95,33,74,Yankee Stadium,
2,670541,Yordan Alvarez,HOU,BAL,2026-07-19T18:10:00Z,Scheduled,2,Brandon Young,687064,R,70.8,Tier 2,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",85.0,41.5,58.1,95.5,80.0,70.6,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.3% barrel, 9.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.23,53.04,94.63,105.1181,0.6638,0.3434,0.4504,76.1,61.88,40.88,37.5,23.5,0.2676,7.33,42.48,89.61,0.4152,0.1644,27.01,171 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=29.7573&lon=-95.3555,67,0,86,Daikin Park,
3,660271,Shohei Ohtani,LAD,NYY,2026-07-19T23:20:00Z,Scheduled,1,,,,68.1,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",82.5,41.2,60.7,88.7,60.0,81.4,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,4,Hot streak: 4 HR in last 7 games,"handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.16,54.29,93.92,104.2964,0.6007,0.3141,0.418,75.1,53.43,47.68,33.11,31.9,0.2798,,,,,,,175 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,95,33,74,Yankee Stadium,
4,656941,Kyle Schwarber,PHI,NYM,2026-07-19T17:35:00Z,Pre-Game,2,Nolan McLean,690997,R,66.5,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",81.7,26.9,59.8,100.0,80.0,57.6,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.1% barrel, 8.2 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.75,55.05,93.74,104.6522,0.539,0.2938,0.3842,77.16,76.33,54.84,34.93,39.9,0.3146,7.09,37.31,87.96,0.3423,0.1229,20.02,L To R,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.9061&lon=-75.1665,84,22,78,Citizens Bank Park,
5,700250,Ben Rice,NYY,LAD,2026-07-19T16:35:00Z,Pre-Game,2,Yoshinobu Yamamoto,808967,R,65.3,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",65.5,26.5,74.2,100.0,80.0,100.0,Yes,No,2,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,26,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 6.3% barrel, 12.6 HR allowed",EV profile; pitcher fly-ball pressure modest,15.47,50.15,92.53,102.5216,0.5341,0.2576,0.3861,72.84,27.36,46.92,29.69,28.1,0.2965,6.26,36.48,87.95,0.3425,0.1235,23.22,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,95,33,74,Yankee Stadium,
6,699013,Esmerlyn Valdez,PIT,CLE,2026-07-19T17:40:00Z,Pre-Game,4,Joey Cantillo,676282,L,64.8,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",83.7,34.0,35.6,90.4,78.0,79.9,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,5,Hot streak: 5 HR in last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 11.4 HR allowed",EV profile; pitcher fly-ball pressure modest,27.9,54.1,92.8,104.3781,0.55,0.325,0.355,74.9,48.4,26.2,44.3,11.0,0.412,7.55,38.09,87.96,0.3672,0.1396,28.21,In From CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=41.4962&lon=-81.6852,80,41,78,Progressive Field,
7,700250,Ben Rice,NYY,LAD,2026-07-19T23:20:00Z,Scheduled,2,,,,64.4,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",65.5,41.2,60.7,95.5,60.0,100.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,26,4,Hot streak: 4 HR in last 7 games,"handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",EV profile; pitcher fly-ball pressure modest,15.47,50.15,92.53,102.5216,0.5341,0.2576,0.3861,72.84,27.36,46.92,29.69,28.1,0.2965,,,,,,,175 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,95,33,74,Yankee Stadium,
8,665742,Juan Soto,NYM,PHI,2026-07-19T17:35:00Z,Pre-Game,2,Alan Rangel,660604,R,64.3,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",72.7,37.6,59.8,100.0,80.0,22.8,Yes,No,2,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,20,1,"Last 7 games: 3/20, 1 HR","platoon edge; pitcher baseline 8.8% barrel, 2.4 HR allowed",lift-pull EV profile; pitcher allows elevated contact,15.82,50.4,92.89,103.2132,0.6059,0.3084,0.4276,72.48,30.19,39.32,32.4,27.6,0.2655,8.82,35.98,88.78,0.3822,0.1548,30.9,L To R,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.9061&lon=-75.1665,84,22,78,Citizens Bank Park,
9,695506,Jac Caglianone,KC,SD,2026-07-19T18:10:00Z,Scheduled,3,Germán Márquez,608566,R,64.3,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",59.9,61.0,51.2,92.1,80.0,43.2,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,1,"Last 7 games: 8/28, 1 HR","platoon edge; pitcher baseline 10.2% barrel, 13.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,14.17,51.92,91.92,104.9816,0.4765,0.215,0.3455,77.33,74.83,42.95,22.61,12.6,0.1807,10.19,46.4,90.09,0.4851,0.2138,33.47,283 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.0517&lon=-94.4803,49,12,91,Kauffman Stadium,
10,676369,Nelson Velazquez,STL,AZ,2026-07-19T20:10:00Z,Scheduled,4,Eduardo Rodriguez,593958,L,63.9,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",71.9,46.9,55.7,90.4,78.0,18.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,18,1,"Last 7 games: 2/18, 1 HR","platoon edge; pitcher baseline 9.2% barrel, 15.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,11.9,66.7,94.7,103.0649,0.569,0.282,0.394,74.9,55.7,45.2,33.3,4.0,0.263,9.18,36.6,88.41,0.4555,0.1909,27.75,157 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,38,1,94,Chase Field,
