rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,weather_temp,ballpark,odds
1,682998,Corbin Carroll,AZ,SD,2026-08-04T01:40:00Z,Pre-Game,1,Michael King,650633,R,60.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",58.0,41.4,62.2,93.2,80.0,31.4,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,1,"Last 7 games: 6/29, 1 HR","platoon edge; pitcher baseline 9.5% barrel, 12.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.1,49.41,91.96,102.5238,0.473,0.2201,0.3545,75.23,54.96,44.57,30.74,20.5,0.247,9.51,34.67,87.52,0.4158,0.1744,27.26,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,13,0,113,Chase Field,
2,701538,Jackson Merrill,SD,AZ,2026-08-04T01:40:00Z,Pre-Game,5,Brandon Pfaadt,694297,R,59.3,Longshot,Watch List,"Strong Barrel, Platoon Edge, Hot Hitter/Streak",48.4,45.9,62.2,86.4,80.0,74.2,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.6% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.53,45.84,89.91,100.5926,0.4613,0.2046,0.3309,72.88,27.19,37.42,28.87,16.0,0.1706,9.57,39.78,89.4,0.4275,0.1715,21.8,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,13,0,113,Chase Field,
3,592518,Manny Machado,SD,AZ,2026-08-04T01:40:00Z,Pre-Game,3,Brandon Pfaadt,694297,R,57.0,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",50.7,45.9,62.2,96.6,50.0,37.8,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,1,"Last 7 games: 7/28, 1 HR","same-side matchup; pitcher baseline 9.6% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.57,46.11,91.22,101.8506,0.4495,0.203,0.3347,74.64,44.3,41.13,28.5,24.2,0.2081,9.57,39.78,89.4,0.4275,0.1715,21.8,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,13,0,113,Chase Field,
4,606466,Ketel Marte,AZ,SD,2026-08-04T01:40:00Z,Pre-Game,4,Michael King,650633,R,57.0,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",50.1,40.0,62.2,94.9,75.0,29.4,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,31,1,"Last 7 games: 6/31, 1 HR","switch hitter; pitcher baseline 9.5% barrel, 12.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.19,44.62,90.52,102.4654,0.4927,0.2091,0.3627,74.67,45.44,49.89,27.5,21.7,0.2067,9.51,34.67,87.52,0.4158,0.1744,27.26,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,13,0,113,Chase Field,
5,665487,Fernando Tatis Jr.,SD,AZ,2026-08-04T01:40:00Z,Pre-Game,1,Brandon Pfaadt,694297,R,55.9,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",50.9,45.9,62.2,93.2,50.0,24.9,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,0,"Last 7 games: 8/28, 0 HR","same-side matchup; pitcher baseline 9.6% barrel, 13.4 HR allowed",EV profile; pitcher fly-ball pressure modest,10.72,52.92,92.53,104.3436,0.4544,0.1722,0.3602,75.44,57.07,33.05,21.31,13.1,0.1346,9.57,39.78,89.4,0.4275,0.1715,21.8,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,13,0,113,Chase Field,
6,664034,Ty France,SD,AZ,2026-08-04T01:40:00Z,Pre-Game,4,Brandon Pfaadt,694297,R,55.6,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",46.0,45.9,62.2,94.9,50.0,45.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,25,0,Contact streak: 11/25 over last 7 games,"same-side matchup; pitcher baseline 9.6% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.22,48.4,91.6,101.4893,0.4425,0.1842,0.3336,71.77,18.9,36.08,23.99,13.3,0.2003,9.57,39.78,89.4,0.4275,0.1715,21.8,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,13,0,113,Chase Field,
7,596146,Max Kepler,AZ,SD,2026-08-04T01:40:00Z,Pre-Game,3,Michael King,650633,R,54.6,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",41.2,41.4,62.2,96.6,80.0,19.5,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,0,"Last 7 games: 6/24, 0 HR","platoon edge; pitcher baseline 9.5% barrel, 12.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.85,46.31,89.54,100.2535,0.4017,0.1734,0.3068,71.37,17.19,43.6,31.05,6.8,0.1533,9.51,34.67,87.52,0.4158,0.1744,27.26,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,13,0,113,Chase Field,
8,630105,Jake Cronenworth,SD,AZ,2026-08-04T01:40:00Z,Pre-Game,2,Brandon Pfaadt,694297,R,48.9,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",18.9,45.9,62.2,100.0,80.0,23.4,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,0,"Last 7 games: 8/29, 0 HR","platoon edge; pitcher baseline 9.6% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.22,34.38,88.08,98.428,0.3397,0.1091,0.3043,71.46,17.74,32.45,20.34,5.4,0.0897,9.57,39.78,89.4,0.4275,0.1715,21.8,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,13,0,113,Chase Field,
9,680728,Adrian Del Castillo,AZ,SD,2026-08-04T01:40:00Z,Pre-Game,6,Michael King,650633,R,48.0,Longshot,Watch List,Platoon Edge,29.5,41.4,62.2,76.2,80.0,22.9,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,0,"Last 7 games: 6/22, 0 HR","platoon edge; pitcher baseline 9.5% barrel, 12.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.7,40.83,88.85,99.0207,0.3388,0.138,0.262,72.16,22.75,37.66,31.42,4.7,0.1297,9.51,34.67,87.52,0.4158,0.1744,27.26,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,13,0,113,Chase Field,
10,672695,Geraldo Perdomo,AZ,SD,2026-08-04T01:40:00Z,Pre-Game,2,Michael King,650633,R,47.8,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",14.4,40.0,62.2,100.0,75.0,67.1,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,31,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 9.5% barrel, 12.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.38,29.87,87.25,96.6412,0.3666,0.1096,0.3364,67.36,2.15,43.45,26.92,12.3,0.1405,9.51,34.67,87.52,0.4158,0.1744,27.26,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,13,0,113,Chase Field,
11,543510,James McCann,AZ,SD,2026-08-04T01:40:00Z,Pre-Game,8,Michael King,650633,R,47.6,Longshot,Watch List,Hot Hitter/Streak,34.8,41.4,62.2,52.4,50.0,100.0,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,15,28,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 9.5% barrel, 12.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.6,45.34,90.48,100.7131,0.3758,0.1487,0.2794,72.02,24.0,26.72,22.67,3.6,0.1563,9.51,34.67,87.52,0.4158,0.1744,27.26,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,13,0,113,Chase Field,
12,650859,Luis Rengifo,SD,AZ,2026-08-04T01:40:00Z,Pre-Game,6,Brandon Pfaadt,694297,R,44.6,Longshot,Watch List,Platoon Edge,18.0,44.5,62.2,76.2,75.0,24.9,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,0,"Last 7 games: 6/21, 0 HR","switch hitter; pitcher baseline 9.6% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.58,35.92,87.94,98.2165,0.361,0.1017,0.3111,70.76,14.79,36.55,16.54,4.1,0.0802,9.57,39.78,89.4,0.4275,0.1715,21.8,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,13,0,113,Chase Field,
13,571448,Nolan Arenado,AZ,SD,2026-08-04T01:40:00Z,Pre-Game,5,Michael King,650633,R,43.9,Longshot,Watch List,No major boost,19.8,41.4,62.2,86.4,50.0,31.6,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","same-side matchup; pitcher baseline 9.5% barrel, 12.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.24,32.95,85.68,97.1733,0.3632,0.1241,0.2981,71.33,15.89,44.48,26.81,14.1,0.168,9.51,34.67,87.52,0.4158,0.1744,27.26,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,13,0,113,Chase Field,
