rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,weather_temp,ballpark,odds
1,656941,Kyle Schwarber,PHI,WSH,2026-06-24T22:45:00Z,Scheduled,2,Miles Mikolas,571945,R,73.3,Tier 2,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",83.3,59.5,45.7,95.5,80.0,81.4,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,5,Hot streak: 5 HR in last 7 games,"platoon edge; pitcher baseline 10.6% barrel, 19.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,21.08,54.28,93.53,104.5439,0.5558,0.3092,0.3898,77.16,76.19,56.1,36.05,37.1,0.3363,10.6,41.24,89.51,0.4906,0.2214,28.49,335 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=38.8730&lon=-77.0074,67,0,72,Nationals Park,
2,670541,Yordan Alvarez,HOU,TOR,2026-06-24T23:07:00Z,Scheduled,2,Trey Yesavage,702056,R,66.1,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",85.3,28.3,55.9,95.5,80.0,44.1,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,1,"Last 7 games: 7/24, 1 HR","platoon edge; pitcher baseline 5.7% barrel, 3.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.44,53.39,94.56,105.1561,0.6729,0.3462,0.4574,76.03,60.41,40.53,36.31,19.3,0.2676,5.67,43.09,90.22,0.3263,0.1163,23.71,322 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=43.6414&lon=-79.3894,41,0,72,Rogers Centre,
3,660271,Shohei Ohtani,LAD,MIN,2026-06-24T23:40:00Z,Scheduled,1,Joe Ryan,657746,R,66.1,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",82.7,49.8,27.1,88.7,80.0,64.3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 10.7% barrel, 13.4 HR allowed",lift-pull EV profile; pitcher allows elevated contact,19.16,55.06,94.13,104.4042,0.6,0.3092,0.4236,75.03,52.73,49.01,33.32,28.4,0.2833,10.73,42.67,89.85,0.3725,0.1614,30.03,,NOAA link only,https://forecast.weather.gov/MapClick.php?lat=44.9817&lon=-93.2776,,,,Target Field,
4,695506,Jac Caglianone,KC,TB,2026-06-24T22:40:00Z,Scheduled,3,Griffin Jax,643377,R,66.0,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",66.4,47.8,56.1,92.1,80.0,82.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,30,6,Hot streak: 6 HR in last 7 games,"platoon edge; pitcher baseline 10.4% barrel, 8.4 HR allowed",EV profile; pitcher fly-ball pressure modest,15.5,53.67,92.55,105.3862,0.5115,0.2402,0.3672,77.12,72.66,41.2,24.08,11.9,0.1961,10.45,41.16,88.57,0.443,0.18,22.39,275 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=27.7682&lon=-82.6534,69,1,86,Tropicana Field,
5,670231,John Rave,KC,TB,2026-06-24T22:40:00Z,Scheduled,7,Griffin Jax,643377,R,65.8,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Platoon Edge",84.9,47.8,56.1,59.8,80.0,45.3,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,6,3,10,1,"Last 6 games: 3/10, 1 HR","platoon edge; pitcher baseline 10.4% barrel, 8.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,21.67,61.98,97.75,103.5543,0.5513,0.2704,0.4175,75.02,54.14,52.78,37.38,1.9,0.4533,10.45,41.16,88.57,0.443,0.18,22.39,275 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=27.7682&lon=-82.6534,69,1,86,Tropicana Field,
6,695578,James Wood,WSH,PHI,2026-06-24T22:45:00Z,Scheduled,1,Aaron Nola,605400,R,65.8,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",85.5,45.8,45.7,88.7,80.0,3.4,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,0,"Last 7 games: 4/28, 0 HR","platoon edge; pitcher baseline 9.1% barrel, 15.9 HR allowed",EV profile; pitcher fly-ball pressure modest,21.65,59.17,95.35,106.492,0.5749,0.3023,0.4079,76.28,64.38,29.14,27.32,23.3,0.247,9.1,40.57,88.49,0.4261,0.1752,26.06,335 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=38.8730&lon=-77.0074,67,0,72,Nationals Park,
7,547180,Bryce Harper,PHI,WSH,2026-06-24T22:45:00Z,Scheduled,3,Miles Mikolas,571945,R,63.8,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",56.3,59.5,45.7,92.1,80.0,79.8,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.6% barrel, 19.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.3,46.24,90.67,102.0792,0.5326,0.2485,0.3953,74.2,45.42,38.68,27.1,20.0,0.2428,10.6,41.24,89.51,0.4906,0.2214,28.49,335 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=38.8730&lon=-77.0074,67,0,72,Nationals Park,
8,701762,Nick Kurtz,ATH,SF,2026-06-25T01:45:00Z,Scheduled,2,Tyler Mahle,641816,R,63.1,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",76.9,39.1,40.8,95.5,80.0,33.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,1,"Last 7 games: 6/27, 1 HR","platoon edge; pitcher baseline 8.3% barrel, 9.2 HR allowed",EV profile; pitcher fly-ball pressure modest,18.29,56.28,93.82,105.6415,0.5153,0.264,0.3853,77.97,79.21,33.69,30.77,24.1,0.2821,8.28,36.12,88.92,0.4067,0.1593,28.45,280 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=37.7786&lon=-122.3893,77,0,64,Oracle Park,
9,681987,Nate Eaton,BOS,COL,2026-06-24T19:10:00Z,Pre-Game,1,Kyle Freeland,607536,L,62.8,Tier 3,Watch List,"Premium Lineup Spot, Platoon Edge",48.6,57.0,69.7,93.2,78.0,50.3,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,6,4,12,1,Contact streak: 4/12 over last 6 games,"platoon edge; pitcher baseline 9.3% barrel, 16.4 HR allowed",EV profile; pitcher fly-ball pressure modest,9.66,42.33,93.35,99.8582,0.4658,0.2175,0.3644,74.35,44.36,50.65,14.79,1.0,0.318,9.33,45.06,90.96,0.4835,0.1896,28.59,R To L,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.7559&lon=-104.9942,26,6,87,Coors Field,
10,575929,Willson Contreras,BOS,COL,2026-06-24T19:10:00Z,Pre-Game,4,Kyle Freeland,607536,L,62.7,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",54.6,57.0,69.7,94.9,78.0,5.1,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,0,"Last 7 games: 4/26, 0 HR","platoon edge; pitcher baseline 9.3% barrel, 16.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.13,45.78,90.18,102.6873,0.481,0.224,0.3664,76.49,66.79,45.75,26.18,17.2,0.225,9.33,45.06,90.96,0.4835,0.1896,28.59,R To L,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.7559&lon=-104.9942,26,6,87,Coors Field,
