rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,weather_temp,ballpark,odds
1,808959,Munetaka Murakami,CWS,TB,2026-08-02T17:40:00Z,Scheduled,2,Griffin Jax,643377,R,70.5,Tier 2,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",84.4,44.4,46.1,95.5,80.0,90.6,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,28,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 9.7% barrel, 11.2 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,20.1,60.4,94.3,104.6299,0.521,0.295,0.377,75.0,52.8,42.1,40.9,24.0,0.309,9.68,41.02,88.85,0.4105,0.1611,23.79,337 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=27.7682&lon=-82.6534,93,31,78,Tropicana Field,
2,670541,Yordan Alvarez,HOU,TEX,2026-08-02T18:10:00Z,Scheduled,2,Kumar Rocker,677958,R,70.3,Tier 2,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",84.8,47.3,55.1,95.5,80.0,41.2,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,1,"Last 7 games: 6/22, 1 HR","platoon edge; pitcher baseline 8.7% barrel, 12.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.09,53.46,94.7,105.1645,0.6638,0.342,0.4511,76.1,61.59,41.51,36.87,26.3,0.269,8.65,43.72,89.8,0.4423,0.1766,22.86,308 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=29.7573&lon=-95.3555,73,3,88,Daikin Park,
3,669065,Kyle Stowers,MIA,NYM,2026-08-02T17:40:00Z,Scheduled,6,Robert Stock,476594,R,68.8,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Platoon Edge, Hot Hitter/Streak",62.2,78.5,52.8,71.7,80.0,85.0,No,Yes,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 10.0% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,14.48,53.61,91.73,103.3165,0.4712,0.2286,0.3449,75.21,53.83,46.9,30.94,18.7,0.2378,10.0,50.0,94.3,0.748,0.358,40.0,156 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.7571&lon=-73.8458,74,0,79,Citi Field,
4,670231,John Rave,KC,COL,2026-08-02T19:10:00Z,Scheduled,7,Kyle Freeland,607536,L,67.3,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Good Environment",79.4,63.1,70.2,59.8,50.0,50.3,No,Yes,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,18,1,Contact streak: 6/18 over last 7 games,"same-side matchup; pitcher baseline 10.9% barrel, 21.3 HR allowed",EV profile; pitcher fly-ball pressure modest,22.23,53.16,94.95,102.8934,0.5702,0.2704,0.407,75.16,54.42,49.84,27.93,1.9,0.2958,10.87,44.78,90.82,0.4947,0.2043,28.94,52 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.7559&lon=-104.9942,13,0,94,Coors Field,
5,695578,James Wood,WSH,ATL,2026-08-02T17:35:00Z,Scheduled,1,,,,66.2,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot",82.6,41.2,56.4,88.7,60.0,54.7,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,2,Hot streak: 2 HR in last 7 games,"handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",EV profile; pitcher fly-ball pressure modest,19.69,57.63,94.93,106.2524,0.563,0.2911,0.4037,76.63,66.92,31.66,25.92,30.3,0.2596,,,,,,,195 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.8907&lon=-84.4677,68,10,84,Truist Park,
6,695506,Jac Caglianone,KC,COL,2026-08-02T19:10:00Z,Scheduled,2,Kyle Freeland,607536,L,65.3,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Good Environment, Premium Lineup Spot",59.1,63.1,70.2,95.5,50.0,44.5,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,29,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.9% barrel, 21.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.82,51.43,91.92,104.8921,0.473,0.215,0.342,77.4,75.39,43.16,22.68,14.0,0.1807,10.87,44.78,90.82,0.4947,0.2043,28.94,52 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.7559&lon=-104.9942,13,0,94,Coors Field,
7,681715,Heriberto Hernandez,MIA,NYM,2026-08-02T17:40:00Z,Scheduled,2,Robert Stock,476594,R,65.2,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot",56.7,78.5,52.8,95.5,50.0,36.7,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.0% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.47,49.18,91.6,101.8349,0.4749,0.2278,0.3445,74.28,46.65,44.93,31.39,14.2,0.2189,10.0,50.0,94.3,0.748,0.358,40.0,156 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.7571&lon=-73.8458,74,0,79,Citi Field,
8,696100,Hunter Goodman,COL,KC,2026-08-02T19:10:00Z,Scheduled,4,Seth Lugo,607625,R,64.6,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Good Environment, Premium Lineup Spot",59.7,59.3,70.2,90.4,50.0,59.1,No,Yes,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.8% barrel, 18.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,15.7,45.85,90.8,102.8237,0.4651,0.2315,0.3276,75.07,50.63,48.14,32.13,31.0,0.2749,9.77,44.99,90.7,0.4758,0.2051,30.09,52 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.7559&lon=-104.9942,13,0,94,Coors Field,
9,656941,Kyle Schwarber,PHI,BAL,2026-08-02T17:35:00Z,Scheduled,2,Kyle Bradish,680694,R,64.2,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",78.1,34.7,57.1,95.5,80.0,19.5,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,0,"Last 7 games: 6/24, 0 HR","platoon edge; pitcher baseline 8.4% barrel, 9.3 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.7,54.21,93.53,104.5073,0.5243,0.2819,0.3786,77.16,75.42,54.56,34.23,39.9,0.3013,8.45,37.92,88.61,0.3648,0.138,22.38,165 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.2840&lon=-76.6217,71,2,81,Oriole Park at Camden Yards,
10,521692,Salvador Perez,KC,COL,2026-08-02T19:10:00Z,Scheduled,3,Kyle Freeland,607536,L,64.0,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",46.5,63.1,70.2,92.1,78.0,61.5,No,Yes,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.9% barrel, 21.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.58,44.11,89.37,100.83,0.4479,0.2058,0.3171,71.99,22.14,42.33,30.29,19.5,0.1715,10.87,44.78,90.82,0.4947,0.2043,28.94,52 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.7559&lon=-104.9942,13,0,94,Coors Field,
