rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,sheet_score,sheet_carry_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,weather_temp,ballpark,odds,sheet_barrel_pct,sheet_iso,sheet_ev,sheet_pm_hr,sheet_pm_pa,sheet_pa_pct,sheet_hr_env,sheet_pitcher_split_barrel,sheet_pitcher_split_hr,sheet_note
1,670541,Yordan Alvarez,HOU,SEA,2026-09-24T02:10:00Z,Scheduled,2,George Kirby,669923,R,66.9,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",78.4,40.6,42.9,95.5,80.0,99.5,50.0,,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,24,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.2% barrel, 19.2 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.55,53.32,94.42,104.8055,0.6162,0.3063,0.4294,76.1,61.59,40.95,36.03,30.5,0.2487,7.2,41.17,89.83,0.4067,0.1465,23.96,246 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=47.5914&lon=-122.3325,72,0,66,T-Mobile Park,,,,,,,,,,,
2,682987,Spencer Jones,NYY,TB,2026-09-23T23:05:00Z,Pre-Game,5,Mason Englert,669438,R,65.1,Tier 3,Watch List,"Strong Barrel, Platoon Edge",67.7,65.0,45.2,86.4,80.0,36.7,50.0,,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 13.2% barrel, 7.5 HR allowed",EV profile; pitcher allows elevated contact,15.4,54.7,94.1,104.2393,0.447,0.212,0.325,77.1,71.8,34.9,38.9,11.0,0.189,13.25,40.74,89.98,0.5045,0.2272,30.22,In From LF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,55,0,64,Yankee Stadium,,,,,,,,,,,
3,700250,Ben Rice,NYY,TB,2026-09-23T23:05:00Z,Pre-Game,1,Mason Englert,669438,R,64.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",62.9,65.0,45.2,93.2,80.0,30.3,50.0,,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,1,"Last 7 games: 5/25, 1 HR","platoon edge; pitcher baseline 13.2% barrel, 7.5 HR allowed",lift-pull EV profile; pitcher allows elevated contact,14.35,50.43,92.32,102.4413,0.5194,0.2492,0.3798,72.84,27.45,44.68,30.88,35.1,0.2587,13.25,40.74,89.98,0.5045,0.2272,30.22,In From LF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,55,0,64,Yankee Stadium,,,,,,,,,,,
4,808959,Munetaka Murakami,CWS,KC,2026-09-23T23:40:00Z,Pre-Game,4,Seth Lugo,607625,R,63.6,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",73.6,53.9,32.2,90.4,80.0,45.9,50.0,,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.9% barrel, 24.2 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.8,55.5,93.6,104.19,0.448,0.249,0.344,74.7,49.7,46.5,38.0,33.0,0.266,8.93,43.52,90.0,0.4618,0.1918,28.97,In From RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.0517&lon=-94.4803,67,0,70,Kauffman Stadium,,,,,,,,,,,
5,804668,Rafael Flores Jr.,PIT,STL,2026-09-23T22:40:00Z,Pre-Game,2,Matthew Liberatore,669461,L,63.4,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",65.2,54.2,28.3,100.0,78.0,81.2,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.6% barrel, 24.6 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.18,52.28,92.07,102.4091,0.5091,0.2549,0.3589,73.75,37.99,40.26,38.06,7.0,0.2254,9.62,41.66,90.18,0.4552,0.1878,28.38,In From CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.4469&lon=-80.0057,87,4,58,PNC Park,,,,,,,,,,,
6,665742,Juan Soto,NYM,TEX,2026-09-24T00:05:00Z,Scheduled,2,Cody Bradford,674003,L,63.4,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",69.8,49.5,58.6,95.5,50.0,45.3,50.0,,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,30,1,"Last 7 games: 9/30, 1 HR","same-side matchup; pitcher baseline 9.5% barrel, 4.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,15.12,50.47,93.03,103.1509,0.5828,0.2902,0.4164,72.83,32.54,39.67,31.21,31.1,0.2487,9.5,37.0,89.4,0.472,0.192,35.5,67 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7473&lon=-97.0842,41,0,93,Globe Life Field,,,,,,,,,,,
7,624413,Pete Alonso,BAL,TOR,2026-09-23T22:35:00Z,Scheduled,2,,,,63.1,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",73.6,41.2,47.1,95.5,60.0,70.3,50.0,,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,6,Hot streak: 6 HR in last 7 games,"handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",EV profile; pitcher fly-ball pressure modest,15.96,55.66,93.78,104.285,0.558,0.278,0.3937,74.78,48.79,36.78,30.81,39.4,0.2471,,,,,,,41 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.2840&lon=-76.6217,92,58,59,Oriole Park at Camden Yards,,,,,,,,,,,
8,696100,Hunter Goodman,COL,AZ,2026-09-24T00:40:00Z,Pre-Game,3,Merrill Kelly,518876,R,63.1,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",55.6,59.9,67.7,96.6,50.0,52.0,50.0,,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.8% barrel, 26.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.16,45.57,90.17,102.4287,0.4532,0.2238,0.3199,74.86,47.62,48.21,32.62,36.6,0.2693,10.77,42.59,89.99,0.4891,0.2104,26.43,L To R,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.7559&lon=-104.9942,17,12,81,Coors Field,,,,,,,,,,,
9,624413,Pete Alonso,BAL,TOR,2026-09-23T17:35:00Z,In Progress,2,Max Scherzer,453286,R,62.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",73.6,47.5,36.6,100.0,50.0,70.3,50.0,,Yes,No,2,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,6,Hot streak: 6 HR in last 7 games,"same-side matchup; pitcher baseline 9.9% barrel, 15.5 HR allowed",EV profile; pitcher allows elevated contact,15.96,55.66,93.78,104.285,0.558,0.278,0.3937,74.78,48.79,36.78,30.81,39.4,0.2471,9.88,35.68,87.74,0.4291,0.1883,34.44,In From CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.2840&lon=-76.6217,92,58,59,Oriole Park at Camden Yards,,,,,,,,,,,
10,691718,Pete Crow-Armstrong,CHC,MIA,2026-09-23T23:40:00Z,Scheduled,1,Ryan Gusto,687473,R,62.2,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",58.1,49.6,49.3,88.7,80.0,91.5,50.0,,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,33,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 9.1% barrel, 12.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.45,46.57,90.27,101.8612,0.5023,0.2442,0.3595,74.38,46.14,50.37,34.59,40.8,0.2781,9.08,43.88,90.04,0.4414,0.1711,26.75,52 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=41.9484&lon=-87.6553,57,0,60,Wrigley Field,,,,,,,,,,,
11,660271,Shohei Ohtani,LAD,SD,2026-09-24T02:10:00Z,Scheduled,1,Robbie Ray,592662,L,61.8,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot",78.5,48.6,52.6,88.7,50.0,0.0,50.0,,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,26,0,"Last 7 games: 2/26, 0 HR","same-side matchup; pitcher baseline 8.7% barrel, 22.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,18.11,53.66,93.71,104.4581,0.5825,0.2994,0.4068,74.96,52.87,46.49,31.92,37.5,0.2735,8.69,40.08,89.88,0.4088,0.1723,33.38,261 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,68,0,75,UNIQLO Field at Dodger Stadium,,,,,,,,,,,
12,621566,Matt Olson,ATL,NYM,2026-09-23T23:15:00Z,Pre-Game,3,Andrew Abbott,671096,L,61.5,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Sheet Consensus",65.1,43.9,51.9,96.6,50.0,48.5,80.6,100.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,1,Contact streak: 9/28 over last 7 games,"same-side matchup; pitcher baseline 8.1% barrel, 22.5 HR allowed",EV profile; pitcher fly-ball pressure modest,14.4,52.11,92.67,103.6569,0.499,0.2517,0.3537,74.53,47.26,37.79,32.92,36.7,0.2393,8.14,37.27,89.2,0.4214,0.1667,29.12,L To R,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.8907&lon=-84.4677,75,5,77,Truist Park,,22.7,0.398,96,11,103,37.5,3,3.3,6,Elite LHH power; weather only mild and possible delay
13,545361,Mike Trout,LAA,ATH,2026-09-24T01:40:00Z,Scheduled,2,Jeffrey Springs,605488,L,59.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",59.8,45.5,54.4,95.5,78.0,21.1,50.0,,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,0,"Last 7 games: 6/23, 0 HR","platoon edge; pitcher baseline 8.8% barrel, 31.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,15.87,46.92,90.27,102.8812,0.4824,0.2334,0.3734,74.49,46.51,36.02,30.93,22.5,0.1874,8.8,35.34,87.67,0.4394,0.189,32.09,219 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=38.5804&lon=-121.5139,44,0,82,Sutter Health Park,,,,,,,,,,,
14,656941,Kyle Schwarber,PHI,STL,2026-09-23T22:40:00Z,Pre-Game,1,Logan Henderson,701656,R,59.7,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",74.1,38.7,36.8,93.2,80.0,18.3,47.5,68.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,22,1,"Last 7 games: 2/22, 1 HR","platoon edge; pitcher baseline 8.8% barrel, 10.7 HR allowed",lift-pull EV profile; pitcher allows elevated contact,17.44,52.25,92.9,104.0136,0.518,0.2791,0.3751,77.16,75.21,54.21,33.39,48.3,0.2894,8.81,36.58,88.8,0.3597,0.1477,31.84,In From CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.9061&lon=-75.1665,84,18,61,Citizens Bank Park,,14.1,0.216,94,9,139,25,6,4.88,2,Power volume; less clean pitcher split than Harper
15,663728,Cal Raleigh,SEA,HOU,2026-09-24T02:10:00Z,Scheduled,4,Ethan Pecko,814490,R,59.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",60.4,47.8,42.9,90.4,75.0,48.7,50.0,,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 9.8% barrel, 5.0 HR allowed",fly-ball profile; pitcher allows elevated contact,16.07,42.25,90.32,101.2003,0.4427,0.2411,0.329,75.13,52.6,52.82,43.06,34.1,0.2377,9.8,38.6,89.3,0.433,0.197,31.3,246 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=47.5914&lon=-122.3325,72,0,66,T-Mobile Park,,,,,,,,,,,
