rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,sheet_score,sheet_carry_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,weather_temp,ballpark,odds,sheet_barrel_pct,sheet_iso,sheet_ev,sheet_pm_hr,sheet_pm_pa,sheet_pa_pct,sheet_hr_env,sheet_pitcher_split_barrel,sheet_pitcher_split_hr,sheet_note
1,670541,Yordan Alvarez,HOU,ATL,2026-09-19T23:10:00Z,Scheduled,2,Grant Holmes,656550,R,69.4,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",78.1,52.1,53.6,95.5,80.0,68.7,50.0,,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.1% barrel, 18.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.55,53.11,94.35,104.795,0.6127,0.3049,0.428,76.1,61.8,40.81,36.24,29.8,0.2487,9.05,43.44,90.94,0.4294,0.1775,27.04,108 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=29.7573&lon=-95.3555,61,0,83,Daikin Park,,,,,,,,,,,
2,695578,James Wood,WSH,STL,2026-09-19T23:15:00Z,Scheduled,1,Michael McGreevy,700241,R,65.8,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",79.1,52.4,48.1,88.7,80.0,22.9,50.0,,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,0,"Last 7 games: 6/22, 0 HR","platoon edge; pitcher baseline 9.2% barrel, 17.6 HR allowed",EV profile; pitcher fly-ball pressure modest,18.71,57.77,94.93,106.3067,0.5441,0.2743,0.3967,76.63,66.71,32.78,24.31,30.3,0.2428,9.22,41.15,90.01,0.4682,0.1907,26.55,186 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=38.6226&lon=-90.1928,57,2,89,Busch Stadium,,,,,,,,,,,
3,624413,Pete Alonso,BAL,MIL,2026-09-19T20:05:00Z,Scheduled,2,Robert Gasser,688107,L,64.3,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",72.9,36.9,53.1,95.5,78.0,73.2,50.0,,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 8.2% barrel, 10.1 HR allowed",EV profile; pitcher fly-ball pressure modest,15.68,55.66,93.85,104.2624,0.5538,0.2738,0.3923,74.78,48.58,36.64,30.67,38.0,0.2429,8.23,36.63,88.27,0.3918,0.1565,26.33,347 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.2840&lon=-76.6217,56,0,79,Oriole Park at Camden Yards,,,,,,,,,,,
4,700250,Ben Rice,NYY,AZ,2026-09-20T00:10:00Z,Scheduled,1,Brandon Pfaadt,694297,R,64.2,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",63.9,43.8,57.2,88.7,80.0,100.0,50.0,,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,26,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 17.6 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.56,50.85,92.39,102.4795,0.5236,0.2527,0.3819,72.84,27.38,44.54,31.09,35.1,0.2622,8.59,38.59,89.26,0.4254,0.1673,23.55,251 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,21,0,100,Chase Field,,,,,,,,,,,
5,621566,Matt Olson,ATL,NYM,2026-09-19T23:10:00Z,Scheduled,3,Hayden Wesneski,669713,R,63.5,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak, Sheet Consensus",65.9,34.3,53.6,92.1,80.0,87.0,80.6,100.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,30,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.1% barrel, 4.9 HR allowed",EV profile; pitcher fly-ball pressure modest,14.68,51.97,92.74,103.6747,0.5025,0.2545,0.3558,74.53,47.54,37.93,33.2,36.7,0.2428,7.07,41.68,88.58,0.3898,0.1466,23.97,108 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=29.7573&lon=-95.3555,61,0,83,Daikin Park,,22.7,0.398,96,11,103,37.5,3,3.3,6,Elite LHH power; weather only mild and possible delay
6,665742,Juan Soto,NYM,PHI,2026-09-19T20:10:00Z,Scheduled,2,Andrew Painter,691725,R,62.6,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",70.6,39.1,45.8,95.5,80.0,61.5,50.0,,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.1% barrel, 19.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.26,50.47,93.03,103.1292,0.5884,0.2951,0.4199,72.83,32.68,40.09,31.49,31.1,0.2557,8.1,35.1,87.5,0.422,0.168,25.9,31 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.7571&lon=-73.8458,57,1,75,Citi Field,,,,,,,,,,,
7,682829,Elly De La Cruz,CIN,CHC,2026-09-19T22:40:00Z,Scheduled,2,Matthew Boyd,571510,L,62.2,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",61.3,40.2,58.8,95.5,75.0,76.4,50.0,,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 8.7% barrel, 16.2 HR allowed",EV profile; pitcher fly-ball pressure modest,14.5,50.92,93.66,104.6004,0.4821,0.2087,0.3598,75.59,55.66,34.89,24.89,26.2,0.2152,8.65,37.72,88.36,0.419,0.1622,26.27,36 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.0979&lon=-84.5082,76,2,76,Great American Ball Park,,,,,,,,,,,
8,682987,Spencer Jones,NYY,AZ,2026-09-20T00:10:00Z,Scheduled,4,Brandon Pfaadt,694297,R,62.0,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",67.3,43.8,57.2,90.4,80.0,30.3,50.0,,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,30,1,"Last 7 games: 6/30, 1 HR","platoon edge; pitcher baseline 8.6% barrel, 17.6 HR allowed",EV profile; pitcher fly-ball pressure modest,15.4,55.6,94.2,104.3845,0.443,0.205,0.325,77.1,71.6,35.0,37.8,10.0,0.185,8.59,38.59,89.26,0.4254,0.1673,23.55,251 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,21,0,100,Chase Field,,,,,,,,,,,
9,682985,Riley Greene,DET,CWS,2026-09-19T18:10:00Z,Pre-Game,4,Sean Burke,680732,R,61.5,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",62.3,46.9,41.0,94.9,80.0,70.4,50.0,,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.9% barrel, 19.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,15.77,46.9,90.25,102.5884,0.5036,0.2459,0.3614,75.6,58.15,39.12,33.52,25.5,0.2105,8.89,39.9,89.6,0.3989,0.1648,31.19,Varies,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=41.8300&lon=-87.6338,73,3,66,Rate Field,,,,,,,,,,,
10,808959,Munetaka Murakami,CWS,DET,2026-09-19T18:10:00Z,Pre-Game,4,Jackson Jobe,695549,R,61.3,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",73.6,41.4,41.0,94.9,80.0,19.9,50.0,,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,1,"Last 7 games: 3/23, 1 HR","platoon edge; pitcher baseline 9.2% barrel, 6.3 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.8,55.8,93.7,104.2712,0.445,0.247,0.341,74.7,50.2,46.7,37.9,32.0,0.264,9.19,37.56,88.47,0.4121,0.1715,27.16,Varies,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=41.8300&lon=-87.6338,73,3,66,Rate Field,,,,,,,,,,,
