rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,sheet_score,sheet_carry_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,weather_temp,ballpark,odds,sheet_barrel_pct,sheet_iso,sheet_ev,sheet_pm_hr,sheet_pm_pa,sheet_pa_pct,sheet_hr_env,sheet_pitcher_split_barrel,sheet_pitcher_split_hr,sheet_note
1,663728,Cal Raleigh,SEA,COL,2026-09-20T19:10:00Z,In Progress,4,Tomoyuki Sugano,608372,R,66.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",61.1,68.7,55.2,94.9,75.0,53.3,50.0,,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 11.9% barrel, 31.6 HR allowed",fly-ball profile; pitcher allows elevated contact,16.28,42.46,90.39,101.2697,0.4462,0.2432,0.3304,75.06,52.32,53.03,43.06,34.1,0.2391,11.94,42.18,90.7,0.5401,0.2385,30.14,In From CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.7559&lon=-104.9942,29,27,75,Coors Field,,,,,,,,,,,
2,700250,Ben Rice,NYY,AZ,2026-09-20T20:10:00Z,In Progress,1,Corbin Burnes,669203,R,65.5,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",63.6,54.5,56.2,93.2,80.0,68.7,50.0,,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 11.2% barrel, 3.5 HR allowed",lift-pull EV profile; pitcher allows elevated contact,14.49,50.57,92.39,102.4529,0.5222,0.252,0.3805,72.84,27.38,44.61,31.09,35.1,0.2608,11.18,38.73,90.34,0.4081,0.1839,43.67,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,16,0,100,Chase Field,,,,,,,,,,,
3,703155,Lazaro Montes,SEA,COL,2026-09-20T19:10:00Z,In Progress,8,Tomoyuki Sugano,608372,R,65.0,Tier 3,Watch List,"Elite Power, Strong Barrel, Platoon Edge",77.1,69.2,55.2,52.4,80.0,23.4,50.0,,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,13,1,"Last 7 games: 2/13, 1 HR","platoon edge; pitcher baseline 11.9% barrel, 31.6 HR allowed",fly-ball profile; pitcher allows elevated contact,21.1,42.1,90.8,103.4456,0.561,0.333,0.357,75.9,61.3,31.6,42.1,4.0,0.361,11.94,42.18,90.7,0.5401,0.2385,30.14,In From CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.7559&lon=-104.9942,29,27,75,Coors Field,,,,,,,,,,,
4,686527,Dominic Canzone,SEA,COL,2026-09-20T19:10:00Z,In Progress,3,Tomoyuki Sugano,608372,R,64.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",55.4,69.2,55.2,96.6,80.0,32.0,50.0,,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,0,Contact streak: 8/24 over last 7 games,"platoon edge; pitcher baseline 11.9% barrel, 31.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.89,46.34,91.53,102.5344,0.5015,0.2255,0.362,73.94,41.29,39.13,26.3,18.7,0.2104,11.94,42.18,90.7,0.5401,0.2385,30.14,In From CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.7559&lon=-104.9942,29,27,75,Coors Field,,,,,,,,,,,
5,670541,Yordan Alvarez,HOU,ATL,2026-09-20T18:10:00Z,Game Over,2,Martín Pérez,527048,L,64.6,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",77.9,37.7,53.1,100.0,50.0,75.8,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,21,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.9% barrel, 10.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.48,53.25,94.42,104.7806,0.6113,0.3035,0.4273,76.1,61.8,40.67,36.17,29.8,0.248,7.93,37.16,88.06,0.4213,0.1618,24.69,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=29.7573&lon=-95.3555,74,0,82,Daikin Park,,,,,,,,,,,
6,682987,Spencer Jones,NYY,AZ,2026-09-20T20:10:00Z,In Progress,6,Corbin Burnes,669203,R,63.1,Tier 3,Watch List,"Strong Barrel, Platoon Edge",67.3,54.5,56.2,76.2,80.0,45.5,50.0,,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 11.2% barrel, 3.5 HR allowed",EV profile; pitcher allows elevated contact,15.4,55.6,94.2,104.3845,0.443,0.205,0.325,77.1,71.6,35.0,37.8,10.0,0.185,11.18,38.73,90.34,0.4081,0.1839,43.67,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,16,0,100,Chase Field,,,,,,,,,,,
7,641343,Jake Bauers,MIL,BAL,2026-09-20T23:20:00Z,Pre-Game,4,Brandon Young,687064,R,62.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",60.6,43.1,66.1,94.9,80.0,54.7,50.0,,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.8% barrel, 18.3 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,13.91,50.5,92.12,103.0298,0.4724,0.2216,0.3715,76.5,69.72,40.41,30.33,20.3,0.2074,7.75,40.17,89.33,0.4159,0.1651,26.73,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.2840&lon=-76.6217,65,3,74,Oriole Park at Camden Yards,,,,,,,,,,,
8,668227,Randy Arozarena,SEA,COL,2026-09-20T19:10:00Z,In Progress,2,Tomoyuki Sugano,608372,R,61.7,Tier 3,Watch List,"Premium Lineup Spot, Hot Hitter/Streak",40.4,69.2,55.2,100.0,50.0,100.0,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,26,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 11.9% barrel, 31.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.98,45.35,91.02,101.1279,0.4205,0.1711,0.3417,71.32,24.66,35.17,24.59,26.3,0.1985,11.94,42.18,90.7,0.5401,0.2385,30.14,In From CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.7559&lon=-104.9942,29,27,75,Coors Field,,,,,,,,,,,
9,682985,Riley Greene,DET,CWS,2026-09-20T18:10:00Z,Delayed Start,4,Davis Martin,663436,R,61.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",61.9,44.8,40.0,94.9,80.0,74.2,50.0,,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.4% barrel, 15.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.7,46.62,90.18,102.552,0.5029,0.2452,0.3614,75.67,58.29,39.12,33.31,25.5,0.2091,7.42,44.67,90.42,0.4293,0.1573,23.97,L To R,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=41.8300&lon=-87.6338,94,47,68,Rate Field,,,,,,,,,,,
10,682998,Corbin Carroll,AZ,NYY,2026-09-20T20:10:00Z,In Progress,5,Will Warren,701542,R,60.8,Tier 3,Watch List,"Strong Barrel, Platoon Edge",57.5,49.2,56.2,86.4,80.0,56.2,50.0,,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 21.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.03,48.64,91.89,102.4945,0.4737,0.2201,0.3517,75.23,54.26,42.47,30.95,24.7,0.247,8.59,44.67,90.93,0.4169,0.161,23.96,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,16,0,100,Chase Field,,,,,,,,,,,
11,682674,Victor Bericoto,SF,LAD,2026-09-20T20:10:00Z,In Progress,3,Jack Dreyer,676263,L,60.6,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",62.0,34.3,66.6,96.6,78.0,37.8,50.0,,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,16,1,"Last 7 games: 4/16, 1 HR","platoon edge; pitcher baseline 6.8% barrel, 6.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.4,50.8,90.7,100.8591,0.475,0.248,0.303,74.9,53.8,35.4,29.2,5.0,0.209,6.77,41.8,89.88,0.3524,0.1377,27.3,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,58,0,78,UNIQLO Field at Dodger Stadium,,,,,,,,,,,
